código_material,preço_real,descrição,modelos_compativeis
1142-020-9700,26.97,Junta de vedação,MS462
1142-021-1101,4.7,Tampa,MS462
1142-021-1103,13.52,Tampa,MS462
1142-029-2300,8.03,Junta do cilindro,MS462
1142-030-0402,657.18,Virabrequim,MS462
1142-030-2006,348.02,Pistão Ø 52 mm,MS462
1142-030-2009,348.02,Pistão Ø 52 mm,MS462
1142-034-1500,22.56,Pino do pistão,MS462
1142-034-3004,37.73,"Anel de compressão Ø 52x1,2 mm",MS462
1142-080-0901,21.59,Cobertura do condutor de ar,MS462
1142-080-0904,43.16,Cobertura do condutor de ar,MS462
1142-080-1600,128.9,Cobertura,MS462
1142-080-1800,183.91,Carcaça do ventilador,MS462
1142-080-2102,283.82,Carcaça do ventilador c/disp. arranque,MS462
1142-084-1600,7.55,Cobertura,MS462
1142-084-7800,17.81,Segmento,MS462
1142-120-0606,353.89,Carburador 1142/06,MS462
1142-120-0800,49.68,Tampa de fechamento,MS462
1142-120-0900,50.19,Suporte do carburador,MS462
1142-120-9700,48.57,Jogo êmbolo da bomba,MS462
1142-121-0800,49.69,Tampa de fechamento,MS462
1142-121-3500,18.64,Alavanca de estrangulamento,MS462
1142-121-4700,32.46,Membrana de regulagem,MS462
1142-121-4800,32.46,Membrana da bomba,MS462
1142-121-6900,26.15,Caixa defletora,MS462
1142-121-7700,19.64,Peça de fixação,MS462
1142-121-9400,17.76,Anel,MS462
1142-122-6200,34.23,Parafuso de encosto da marcha lenta,MS462
1142-123-7500,9.81,Luva,MS462
1142-129-0900,7.41,Junta de vedação,MS462
1142-140-0600,158.33,Silenciador,MS462
1142-140-0800,70.61,Escapamento de saída,MS462
1142-140-4401,54.98,Filtro de ar PA,MS462
1142-140-4402,48.43,Filtro de ar HD2,MS462
1142-141-0900,18.33,Base do filtro,MS462
1142-141-2200,99.75,Conexão,MS462
1142-141-3200,12.77,Chapa de refrigeração,MS462
1142-141-7500,11.68,Coletor prévio,MS462
1142-141-8600,11.92,Mangueira,MS462
1142-149-0600,6.35,Junta de vedação do silenciador,MS462
1142-160-2000,144.78,Embreagem,MS462
1142-160-5400,36.6,Cinta do freio,MS462
1142-160-5500,14.15,Mola de tração,MS462
1142-162-0800,21.96,Contrapeso centrífugo,MS462
1142-162-8000,7.06,Mangueira,MS462
1142-180-0900,18.2,Interruptor combinado,MS462
1142-182-0800,11.14,Trava do acelerador,MS462
1142-182-1000,12.26,Alavanca do acelerador,MS462
1142-182-1500,16.58,Tirante do acelerador,MS462
1142-182-2800,9.48,Alavanca,MS462
1142-185-1900,5.81,Tirante do afogador,MS462
1142-350-0804,324.14,Carcaça do tanque,MS462
1142-358-7700,34.02,Mangueira,MS462
1142-400-1202,271.13,Volante,MS462
1142-400-1302,360.47,Módulo de ignição,MS462
1142-440-3001,28.9,Cabo de ligação,MS462
1142-442-1601,5.31,Mola de contato,MS462
1142-442-1602,5.31,Mola de contato,MS462
1142-442-1603,5.31,Mola de contato,MS462
1142-442-1606,5.31,Mola de contato,MS462
1142-640-1705,112.72,Tampa do pinhão da corrente,MS462
1142-640-3200,239.72,Bomba de óleo,MS382/462
1142-647-0600,62.41,Êmbolo da bomba,MS382/462
1142-647-4800,11.48,Pino de regulagem,MS382/462
1142-656-1502,16.2,Proteção,MS462
1142-656-7700,9.12,Segurança da corrente,MS462
1142-664-0500,19.85,Batente de garras,MS362/462
1142-790-1700,135.86,Tubo do punho,MS462
1142-790-8101,19.27,Segurança,MS462
1142-790-8300,40.04,AV-Mola,MS462
1142-790-8301,51.12,AV-Mola,MS462
1142-790-9101,51.83,Proteção da mão,MS462
1142-791-0601,16.87,Cobertura do punho,MS462
1142-791-1900,25.02,Suporte do tubo do punho,MS462
1142-792-2902,14.44,Bujão do rolamento antivibratório,MS462
1142-890-3400,33.14,Chave combinada,MS462
1142-890-3401,32.04,Chave combinada,MS 363.0
1142-893-2602,9.26,Cinta tensora,MS462
1142-967-1500,12.58,Plaqueta de identificação MS 462,MS462
1143-020-9400,99.87,Válvula de descompressão,MS361/362
1143-084-4100,7.22,Corrediça,MS462
1143-120-2600,13.81,Tampa da bomba,FS460
1143-122-6203,34.23,Parafuso de encosto da marcha lenta,MS660/661
1143-162-5200,10.52,Pino,MS462
1143-664-2402,7.49,Parafuso com colar M5,MSA160T/HTA85/HTA86
1143-893-2400,127.33,Luva de montagem,MS162/172/172C/182/212
1144-007-1000,21.06,Conjunto eixo de distribuição,MS661
1144-007-1601,112.48,Jogo de juntas de vedação,MS661
1144-007-1606,110.48,Jogo de juntas de vedação,MS651
1144-007-1701,67.48,Jogo peças do carburador,MS651/660/661
1144-020-1201,965.46,Cilindro com pistão Ø 56 mm,MS651
1144-020-1202,965.46,Cilindro com pistão Ø 56 mm,MS661
1144-020-2604,628.7,Carcaça do virabrequim lado ventilador,MS661
1144-020-2607,629.07,Carcaça do virabrequim lado ventilador,MS651
1144-020-2924,630.37,Parte da carcaça do virabrequim AS,MS661
1144-020-2928,611.8,Parte da carcaça do virabrequim AS,MS651
1144-021-1100,18.8,Tampa,MS651/661
1144-021-8101,17.25,Flange,MS651/661
1144-028-1000,6.63,Passador de borracha,MS651/661
1144-029-0501,5.55,Junta de vedação,MS661
1144-029-0506,5.21,Junta de vedação,MS651
1144-029-2300,8.17,Junta do cilindro,MS660/661
1144-029-2305,8.17,Junta do cilindro,MARÇO 2018MS651
1144-030-0402,767.02,Virabrequim,MS661/651
1144-030-2001,330.34,Pistão Ø 56 mm,MS651/661
1144-034-1500,22.56,Pino do pistão 12x8x35,MS382/651/661
1144-034-3002,41.55,"Anel de compressão Ø 56x1,2 mm",MS651/661
1144-080-1600,73.56,Cobertura,MS651/661
1144-080-1700,12.61,Luva,MS 651
1144-080-1801,263.81,Carcaça do ventilador,MS651/661
1144-080-2102,381.35,Carcaça do ventilador c/disp. arranque,MS651/661
1144-084-7400,11.94,Luva,MS 651
1144-084-7401,6.53,Luva,MS651/661
1144-084-7800,19.98,Segmento,MS651/661
1144-120-0627,372.19,Carburador 1144/27,MS651
1144-120-0628,372.19,Carburador 1144/28,MS661
1144-120-2602,97.52,Tampa da bomba,MS651/660/661
1144-120-7102,61.34,Eixo de estrangulamento com alavanca,MS660/651/661
1144-120-7202,54.46,Eixo do afogador com alavanca,MS651/660/661
1144-121-0803,49.68,Tampa de fechamento,MS651/660/661
1144-121-2901,14.53,Borboleta do afogador,MS660/651/661
1144-121-3301,14.53,Válvula de estrangulamento,MS651/660/661
1144-121-3502,18.64,Alavanca de estrangulamento,MS651/660/661
1144-121-4701,32.46,Membrana de regulagem,MS651/661
1144-121-4801,32.46,Membrana da bomba,MS660/651/661
1144-121-6603,7.64,Alavanca,MS651/660/661
1144-121-6900,28.96,Caixa defletora,MS651/661
1144-122-3001,8.19,Mola,MS651/660/661
1144-122-3202,3.72,Mola com haste,MS651/660/661
1144-122-3203,3.72,Mola com haste,MS651/660/661
1144-122-6702,34.23,Parafuso de regulagem principal,MS651
1144-122-6703,34.23,Parafuso de regulagem principal,MS660/661
1144-122-6801,34.23,Parafuso de regulagem da marcha lenta,MS651
1144-122-6802,34.23,Parafuso de regulagem da marcha lenta,MS660/661
1144-122-7101,10.8,Parafuso,MS651/660/661
1144-122-7400,10.8,Parafuso cabeça redonda,MS651/660/661
1144-122-9300,5.15,Grampo,MS651/660/661
1144-123-7500,11.25,Luva,MS 651
1144-123-7504,9.99,Luva,MS651/661
1144-129-0900,7.41,Junta de vedação,MS193T/194T/651/661
1144-129-0901,7.41,Junta de vedação,MS 651/660/661
1144-129-0902,7.41,Junta de vedação,MS651/660/661
1144-140-0600,191.99,Silenciador,MS661
1144-140-0605,191.99,Silenciador,MS651
1144-140-1000,58.64,Tampa do filtro,MS651/661
1144-140-1200,49.62,Base do filtro,MS651/661
1144-140-4402,56.12,Filtro de ar HD2,MS651/661
1144-141-2202,86.21,Conexão,MS660/661
1144-141-2205,88.46,Conexão,MS 651
1144-141-2300,15.13,Botão do fecho,MS651/661
1144-141-3200,10.28,Chapa de refrigeração,MS651/661
1144-141-4000,7.53,Corrediça,MS651/661
1144-141-6300,15.65,Condutor de ar,MS651/661
1144-141-8600,11.93,Mangueira de impulso de borracha,MS651
1144-145-0800,81.56,Escapamento de saída,MS651/661
1144-149-0500,15.21,Junta de vedação,MS660/661
1144-149-0600,4.42,Junta de vedação do silenciador,MS651/661
1144-160-2001,198.58,Embreagem,MS651/661
1144-160-5400,51.42,Cinta do freio,MS651/661
1144-160-5500,11.91,Mola de tração,MS651/661
1144-162-0802,28.66,Contrapeso centrífugo,MS651/661
1144-162-1000,13.7,Arruela de cobertura,MS651/661
1144-162-3200,36.77,Arrastador,MS651/661
1144-162-8000,10.6,Mangueira,MS651/661
1144-182-0700,8.6,Luva,MS651/661
1144-182-0900,19.31,Interruptor combinado,MS651
1144-182-0901,19.91,Interruptor combinado,MS651/661
1144-182-1000,12.81,Alavanca do acelerador,MS651/661
1144-182-1500,13.27,Tirante do acelerador,MS651/661
1144-182-2100,15.58,Suporte,MS651/661
1144-185-1900,4.93,Tirante do afogador,MS 651
1144-185-1901,4.93,Tirante do afogador,MS661/651
1144-350-0806,349.91,Carcaça do tanque,MS651
1144-350-0811,333.07,Carcaça do tanque,MS651/661
1144-400-1203,177.19,Volante,MS661
1144-400-1206,180.76,Volante,MS651
1144-400-1303,390.46,Módulo de ignição,MS661
1144-400-1304,390.46,Módulo de ignição,MS651
1144-400-1309,390.46,Módulo de ignição,MS661
1144-440-3000,31.75,Cabo de ligação,MS651
1144-440-3003,34,Cabo de ligação,MS651/661
1144-442-1600,10.61,Mola de contato,MS 651
1144-442-1602,4.84,Mola de contato,MS651/661
1144-640-1710,150.91,Tampa do pinhão da corrente,MS651/661
1144-640-1717,178.88,Tampa do pinhão da corrente,MS651/661
1144-640-1718,158.95,Tampa do pinhão da corrente,MS651/661
1144-640-3200,327.95,"Bomba de óleo lubri.curso 1,15 mm",MS651/661
1144-640-7101,46.55,Sem-fim,MS651/661
1144-641-9400,11.62,Bucha do mancal,MS651/661
1144-647-0600,62.41,Êmbolo da bomba,MS651/661
1144-647-4800,10.18,Pino de regulagem,MS651/661
1144-656-1500,35.47,Proteção,MS651/661
1144-660-0802,32.64,Batente de garras,MS651/661
1144-664-0504,36.5,Batente de garras,MS651/661
1144-790-1702,138.13,Tubo do punho,MS661/651
1144-790-8100,18.16,Segurança,MS651/661
1144-790-8301,51.96,AV-Mola,MS651/661
1144-790-9100,67.21,Proteção da mão,MS651/661
1144-791-0600,17.51,Cobertura do punho,MS651/661
1144-791-1900,23.34,Suporte do tubo do punho,MS651/661
1144-791-3100,11.9,Mola,MS651/661
1144-791-3103,12.83,Mola,MS 462/651/661
1144-791-5100,16.67,Inserto do tubo do punho,MS651/661
1144-791-7500,13.52,Cobertura,MS651/661
1144-792-2901,11.58,Bujão do rolamento antivibratório,MS651/661
1144-792-2904,13.44,Bujão do rolamento antivibratório,MS 651
1144-792-2906,12.55,Bujão do rolamento antivibratório,MS651/661
1144-890-1401,51.63,Jogo de ferramentas,MS362
1144-893-2400,154.32,Luva de montagem,MS651/661
1144-893-4600,73.53,Luva de montagem,MS651/661
1144-967-1500,11.46,Plaqueta de identificação MS 661,MS651/661
1144-967-1505,12.58,Plaqueta de identificação MS 651,MS651/661
1144-989-0800,8.62,Passador de borracha,MS651/661
1145-129-0900,7.41,Junta de vedação,MS194T
1146-180-0900,18.76,Interruptor combinado,MS193T
1146-640-7102,18.92,"Sem-fim 1/4""Picco / 3/8""Picco",MS193T/194T
1147-080-1701,13.66,Luva,MS651/661
1147-160-2000,138.53,Embreagem,MS 362
1147-162-0800,20.4,Contrapeso centrífugo,MS 363.0
1148-007-1000,64.74,Conjunto de molas AV,MS162/172/172C/182/212
1148-007-1001,32.76,Conjunto de peças do freio da corrente,MS162/172/172C/182/212
1148-007-1600,94.65,Jogo de juntas de vedação,MS212
1148-007-1601,63.32,Jogo de juntas de vedação,MS162/172/172C/182
1148-007-4100,42.01,Jogo de manutenção 18,MS162/172/172C
1148-007-4101,68.75,Jogo de manutenção 19,MS182/212
1148-020-0207,879.4,Bloco do cárter,MS212
1148-020-1200,283.02,Cilindro com pistão Ø 37 mm,MS162
1148-020-1202,333.8,Cilindro com pistão Ø 38 mm,MS172/172C
1148-020-1204,384.61,Cilindro com pistão Ø 39 mm,MS182/MS182
1148-020-1207,460.78,"Cilindro com pistão Ø 40,5 mm",MS 1148/INTROD.: FEV./2024
1148-020-2100,83.6,Carcaça do virabrequim,MS162/172/172C/182
1148-020-3002,219.98,Carcaça do motor,MS162/172
1148-020-3003,219.98,Carcaça do motor,MS172C
1148-020-3006,250.49,Carcaça do motor,MS182/212
1148-021-1100,18.81,Tampa,MS162/172/172C/182/212
1148-021-2501,49.33,Carcaça do virabrequim,
1148-029-2301,8.03,Junta do cilindro,
1148-030-0407,148.32,Virabrequim,
1148-030-1008,108.23,Virabrequim com rolamento,MS162/172/172C
1148-030-1011,153.07,Virabrequim com rolamento,MS182
1148-030-2010,129.8,Pistão Ø 37 mm,MS 1148
1148-030-2012,122.2,Pistão Ø 38 mm,MS 1148
1148-030-2014,135.93,Pistão Ø 39 mm,MS 1148/INTROD.: FEV./2024
1148-030-2017,156.58,"Pistão Ø 40,5 mm",MS 1148/INTROD.: FEV./2024
1148-034-3004,22.45,"Anel de compressão Ø 39x1,2 mm",
1148-034-3008,24.59,"Anel de compressão Ø 40,5x1,2 mm",
1148-080-1600,88.03,Cobertura,MS162/172
1148-080-1601,88.56,Cobertura,MS172C
1148-080-1614,89.07,Cobertura,MS182/212
1148-080-2106,128.4,Carcaça do ventilador c/disp. arranque,MS162/172
1148-080-2107,213.61,Carcaça do ventilador c/disp. arranque,MS172C
1148-080-2108,134.09,Carcaça do ventilador c/disp. arranque,MS182/212
1148-120-0670,144.29,Carburador 1148/70,MS162/172
1148-120-0671,149.55,Carburador 1148/71,MS172C
1148-120-0672,161.07,Carburador 1148/72,MS182
1148-120-0673,166.8,Carburador 1148/73,MS212
1148-121-1600,43.15,Flange intermediário,MS162/172/172C/182
1148-121-1601,43.15,Flange intermediário,MS212
1148-124-0501,17.78,Quadro do filtro,
1148-124-3201,23.34,Placa defletora,MS162/172/172C/182/212
1148-129-0900,6.97,Junta de vedação,MS162/172/172C/182/212
1148-129-0902,6.97,Junta de vedação,
1148-129-0903,6.97,Junta de vedação,
1148-140-0611,39.98,Silenciador,MS212
1148-140-0614,38.51,Silenciador,MS162/172/172C/182
1148-140-2804,72.83,Carcaça do filtro,MS212
1148-140-2806,130.01,Carcaça do filtro,MS162
1148-140-2807,111.15,Carcaça do filtro,MS172
1148-140-2809,111.68,Carcaça do filtro,MS172C
1148-140-2810,80.38,Carcaça do filtro,MS182
1148-140-4404,31.29,Filtro de ar,MS 1148/INTROD.: FEV./2024
1148-140-4406,35.83,Filtro de ar,MS 1148/INTROD.: FEV./2024
1148-141-1700,8.21,Placa do filtro,
1148-141-1701,8.83,Placa do filtro,
1148-149-0600,5.4,Junta de vedação do silenciador,
1148-160-2000,108.13,Embreagem,MS162/172/172C/182/212
1148-160-5400,20.72,Cinta do freio,MS162/172/172C/182/212
1148-160-5500,11.16,Mola de tração,MS162/172/172C/182/212
1148-162-1000,13.73,Arruela de cobertura,MS162/172/172C/182/212
1148-180-1500,18.38,Alavanca do acelerador,MS162/172/172C/182/212
1148-182-0900,18.78,Interruptor combinado,
1148-182-1500,14.93,Tirante do acelerador,MS162/172/172C/182/212
1148-190-0600,27.61,Mola de recuo,
1148-350-2800,7.4,Cotovelo,MS162/172/172C/182/212
1148-350-2801,7.4,Cotovelo,MS172C
1148-350-5801,23.81,Respiro do tanque,
1148-358-7700,18.54,Mangueira,
1148-400-1206,177.52,Volante,MS162/172/172C/182/212
1148-400-1305,122.43,Módulo de ignição,MS212
1148-400-1306,111.87,Módulo de ignição,MS172/172C
1148-400-1307,122.44,Módulo de ignição,MS182
1148-400-1312,107.36,Módulo de ignição,MS162
1148-440-3000,34,Cabo de ligação,
1148-440-3001,35.7,Cabo de ligação,
1148-442-1600,5.31,Mola de contato,MS 1148
1148-442-5800,3.92,Ponte de contato,
1148-448-1200,6.67,Porta-cabos,MS162/172/172C/182/212
1148-630-0600,16.16,Roda tensora,MS172C
1148-640-1704,54.97,Tampa do pinhão da corrente,MS162/172//182/212
1148-640-1705,85.71,Tampa do pinhão da corrente,MS172C
1148-640-2000,78.5,"Pinhão da corrente 3/8""P 6 Z",
1148-640-2001,74.47,"Pinhão da corrente 3/8""P 6 Z",MS162/172/172C/182/212
1148-647-4000,17.21,Mangueira de óleo,
1148-650-7700,10.27,Segurança da corrente,MS162/172/172C/182/212
1148-660-0701,38.78,Tensor da corrente,MS162/172//182/212
1148-790-0300,80.79,Cabo da mão,
1148-790-1000,131.97,Carcaça do punho,MS162/172/182/212
1148-790-1001,187.92,Carcaça do punho,MS172C
1148-791-0600,16.24,Cobertura do punho,MS162/172/172C/182/212
1148-791-1704,124.71,Tubo do punho,
1148-792-4900,67.2,Proteção da mão,MS162/172/172C/182/212
1148-967-1501,12.58,Plaqueta de identificação MS 162 C,MS162C
1148-967-1502,12.58,Plaqueta de identificação MS 172,MS172
1148-967-1503,12.58,Plaqueta de identificação MS 172 C,MS172C
1148-967-1505,12.58,Plaqueta de identificação MS 182 C,MS182C
1148-967-1507,12.58,Plaqueta de identificação MS 212 C,MS212C
1204-431-2400,12.33,Proteção do cabo,MSE170/E14/FE55
1204-431-2500,6.95,Braçadeira do cabo,E14/160/FE55/MSE170
1206-435-0310,39.09,Interruptor de segurança,E14/160
1206-435-8000,4.37,"Arruela de vedação 9,4x26x0,25",E14/160
1206-605-1001,11.35,Capacitor 230/240 V,MotosserraE160
1206-608-1200,5.34,Arruela 12x21,E14/160
1206-640-3600,25.43,Tampa do tanque de óleo,E14/160/HTImpl/75
1206-642-1301,65.94,"Pinhão da corrente 3/8""P 7 Z",E14/160
1206-642-7600,2.86,Porca de fenda,E14/160
1206-642-7801,5.55,"Arruela 10,15x18,65x1,5",E14/160
1206-642-7810,8.87,"Arruela de aço 10/8,5x23x1",MSE14/160/170
1208-007-1000,421.18,Jogo tensor rápido da corrente,MSE160
1208-084-1801,15.58,Condutor de ar anular,E160/MSE160
1208-086-0500,19,Roda do ventilador,E160
1208-160-5000,35.92,Alavanca,E160
1208-160-5405,22.87,Cinta do freio,E160
1208-162-1500,19.86,Tirante do freio,E160
1208-162-3202,20.95,Arrastador,MSE141
1208-162-4200,11.54,Parafuso com colar,HT75
1208-162-7900,7.44,Mola de tração,E160
1208-430-0501,128,Interruptor 220/230 V,BG50/ MSE 141
1208-430-0502,126.75,Interruptor 120/127 V,BG50/MSE141
1208-435-0303,38.65,Interruptor,BG50/MSE 141
1208-435-2401,37.89,Alavanca do interruptor,E160/MSE160
1208-435-2500,2.67,Peça de engate,E160
1208-440-2004,66.4,"Cabo de conexão BR, 4 m",MSE160
1208-440-2005,69.52,Cabo de conexão,MSE160
1208-440-2009,47.18,"Cabo de conexão 127 BR 0,4 m",MSE141
1208-440-2010,54.27,"Cabo de conexão 220 V BR 0,4 m",MSE141
1208-600-0101,200.18,"Estator 230V, 1600 W",E160
1208-600-0204,543.6,Motor elétrico 230 V/50 Hz,MSE 141
1208-600-0205,543.6,Motor elétrico 120 V/50-60 Hz,MSE 141 127 V
1208-600-2704,90.7,Jogo de escovas de carvão 230 V,MSE141
1208-600-2706,70.95,Jogo de escovas de carvão 120 V,MSE141
1208-602-1202,196.42,Carcaça do motor,MSE141
1208-602-2000,76.07,Cobertura do motor,MSE141
1208-605-1002,6.38,"Capacitor 0,15 µF",MSE141
1208-640-0506,176.48,Carcaça da engrenagem,MSE141
1208-640-1708,53.09,Tampa do pinhão da corrente,MSE141
1208-640-1720,53.08,Tampa do pinhão da corrente,E160
1208-640-1725,58.71,Tampa do pinhão da corrente,MSE160C
1208-640-3000,86.08,Carcaça da bomba,E160
1208-640-3250,144.87,Bomba de óleo,E160
1208-640-3600,25.43,Tampa do tanque de óleo,MSE141
1208-640-7551,170.15,Roda dentada,Bomba Óleo E160/MSE 141
1208-648-3800,14.68,Chapa defletora,MSE160
1208-664-2400,11.91,Parafuso com colar,E160
1208-790-1002,137.48,Carcaça do punho,MSE141
1208-791-1500,53.41,Cabo dianteiro,E160
1208-791-1501,39.92,Cabo dianteiro,MSE141
1208-792-4900,51.83,Proteção da mão,MSE141
1208-967-1816,9.18,"Placa de características 230 V, 1600 W",MSE160
1208-967-1824,10.08,Placa de características,MSE 141 127 V
1208-967-1826,10.08,Placa de características,MSE141
1209-160-5001,35.92,Alavanca,MSE170
1209-160-5401,26.45,Cinta do freio,MSE170
1209-162-1501,26.53,Tirante do freio,MSE170
1209-162-3200,19.53,Arrastador,MSE170
1209-162-7900,10.39,Mola de tração,MSE170
1209-162-7901,5.24,Mola de tração,MSE170
1209-350-4401,61.33,Tanque de óleo,MSE170
1209-430-2100,41.2,Alavanca do interruptor,MSE170
1209-435-0300,37.34,Interruptor,MSE170
1209-435-0302,76.13,Interruptor,MSE170
1209-435-1200,126.79,"Protetor térmico 230V, 1,7 kW",MSE170
1209-435-1204,123.49,"Protetor térmico 120V, 1,7 kW",MSE170
1209-435-7800,8.1,Botão de bloqueio,MS170/MSE170
1209-440-2004,66.4,Cabo de conexão BR 240V,MSE170
1209-440-2007,86.52,Cabo de conexão BR 120V,MSE170
1209-440-3000,95.2,Cabo de ligação 230V,MSE170
1209-440-3003,109.19,Cabo de ligação 120V,MSE170
1209-600-0207,499.87,Motor elétrico 220 V/60 Hz,MSE170
1209-600-0211,532.36,Motor elétrico 127 V/60 Hz,MSE170
1209-600-2702,67.44,Jogo de escovas de carvão,MSE170
1209-602-0401,29.11,Cobertura,MSE170
1209-602-1202,243.52,Carcaça do motor,MSE170
1209-640-1703,85.69,Tampa do pinhão da corrente MSE 170 C,MSE170
1209-640-3202,105.87,Bomba de óleo,MSE170
1209-640-7500,265.44,Roda dentada,MSE170
1209-640-8402,104.99,Placa do rolamento,MSE170
1209-640-8403,102.28,Placa do rolamento,MSE170
1209-642-1200,37.55,"Pinhão da corrente 3/8""P 6 Z",MSE170
1209-642-7800,5.28,Arruela,MSE170
1209-647-1800,14.09,Roda dentada,MSE170
1209-647-4000,18.55,Mangueira de óleo,MSE170
1209-647-4001,17.24,Mangueira de óleo,MSE170
1209-664-0500,16.34,Batente de garras,MSE170
1209-790-1005,200.57,Carcaça do punho,MSE170
1209-791-1701,66.81,Tubo do punho,MSE170
1209-792-9101,55.67,Proteção da mão,MSE170
1209-890-3600,104.33,Chave,MSE170
1209-967-1808,10.08,"Placa de características 120 V, 1700 W",MSE170
1209-967-1809,10.08,"Placa de características 230 V, 1700 W",MSE170
1209-967-1818,10.09,"Placa de características 120 V, 1700 W",MSE170
1209-967-1819,10.09,"Placa de características 230 V, 1700 W",MSE170
1250-021-1100,22.88,Tampa,MSA160
1250-084-0900,55.07,Cobertura,MSA160/200
1250-160-5400,23.82,Cinta do freio,MSA160/200
1250-162-7900,11.16,Mola de tração,MSA160/200
1250-400-0601,188.95,Placa de contato,MSA160/200
1250-400-2111,815.43,Unidade de comando,MSA160/220
1250-430-0500,17.58,Interruptor,MSA120/140/160/160T/200/TSA230/HSA66
1250-430-0501,72.2,Interruptor,MSA160/200
1250-430-1400,815.39,Módulo electrônico,MSA160
1250-430-1402,815.39,Módulo electrônico,MSA200
1250-435-1500,4.16,Grampo,MSA160/200
1250-435-2101,3.72,Mola com haste,MSA160/200
1250-435-2401,15.04,Alavanca do interruptor,MSA160/200
1250-435-7800,10.03,Botão de bloqueio,MSA120/140/160/200/TSA230
1250-600-0200,762.82,Motor elétrico,MSA160/RMA370
1250-600-0203,739.57,Motor elétrico,MSA160/200
1250-640-1703,88.49,Tampa do pinhão da corrente MSA 160,MSA160
1250-640-7101,18.92,Sem-fim,MSA160/200
1250-642-1200,49.42,"Pinhão da corrente 1/4""P 7D",MSA160/200
1250-647-2001,38.77,Sem-fim,MSA160
1250-790-0600,25,Cobertura do punho,MSA160
1250-790-1007,414.9,Carcaça do punho,MSA160/200/220
1250-791-1004,69.6,Carcaça do punho,MSA160/200/TSA230
1250-791-1700,87.97,Tubo do punho,MSA160/200
1250-791-3100,5.96,Mola,MSA160/200/TSA230
1250-792-9100,36.48,Proteção da mão,MSA160/200
1250-890-2200,256.3,Ferramenta de montagem,MSA160/MS170/180/210/230/250
1250-967-1808,10.08,Placa de características MSA 160 JP,MSA160
1251-021-1100,24.1,Tampa,MSA200
1251-021-1101,19.98,Tampa,MSA200
1251-080-1600,43.16,Cobertura,MSA220
1251-400-0612,125.04,Placa de contato,MSA220
1251-400-2100,972.75,Unidade de comando,MSA200
1251-404-8100,30.57,Tampa,MSA200
1251-430-1400,972.75,Módulo electrônico,MSA200
1251-430-1401,972.75,Módulo electrônico,MSA200
1251-430-1402,1058.57,Módulo electrônico,MSA220
1251-600-0200,825.05,Motor elétrico,MSA200
1251-600-0201,825.05,Motor elétrico,MSA200
1251-600-0202,871.67,Motor elétrico,MSA220
1251-640-1707,61.02,Tampa do pinhão da corrente MSA 200,MSA160/200
1251-640-1708,58.23,Tampa do pinhão da corrente MSA 220,MSA220
1251-642-1200,54.04,"Pinhão da corrente 1/4""P 6D",MSA160/200
1251-642-1204,49.48,"Pinhão da corrente 3/8""P 6d",MSA220
1251-660-0800,14.79,Batente de garras,MSA220
1251-790-1001,54.49,Carcaça do punho,MSA220
1251-790-1010,378.43,Carcaça do punho,MSA220
1251-790-1015,379.93,Carcaça do punho,
1251-792-4900,40.31,Proteção da mão,MSA220
1251-967-1803,10.08,Placa de características,MSA220
1251-967-1808,10.08,Placa de características MSA 200 JP,MSA200
1252-007-3800,110.92,Kit elementos de comando,MSA161
1252-162-5000,10.56,Alavanca,MSA160T
1252-162-7901,5.21,Mola de tração,MSA160T
1252-182-4500,4.47,Mola com haste,MSA160T
1252-350-4401,151.09,Tanque de óleo,MSA 160
1252-352-5000,13.83,Olhal,MSA160T
1252-404-0800,16.12,Placa de contato,MSA160T
1252-404-0801,8.34,Placa de contato,MSA160T
1252-430-0502,86.59,Interruptor,MSA160T
1252-430-1400,772.51,Módulo electrônico,MSA160T
1252-430-1401,815.39,Módulo electrônico,MSA161
1252-431-2100,5.31,Lingueta de encaixe,MSA160
1252-435-1501,5.75,Grampo,MSA160T
1252-435-2400,10.58,Alavanca do interruptor,MSA160T
1252-435-6300,14.49,Trava da alavanca de comando,MSA160T
1252-440-1500,21.46,Carcaça do plugue,MSA160T/HTA85
1252-600-0200,787.89,Motor elétrico,MSA160T/HTA 85
1252-600-0203,739.57,Motor elétrico,MSA161
1252-600-0801,250.49,Carcaça do motor,MSA160T
1252-600-0804,252.08,Carcaça do motor,MSA160T
1252-600-0812,254.07,Carcaça do motor,MSA161
1252-640-1700,52.17,Tampa do pinhão da corrente,MSA160 T
1252-640-1702,57.75,Tampa do pinhão da corrente,MSA161
1252-640-7100,79.33,Sem-fim,MSA161
1252-642-1201,46.29,"Pinhão da corrente 1/4""P 7D",MSA160T/120
1252-642-1202,44.68,"Pinhão da corrente 1/4""P 10d",MSA161
1252-790-0600,39.37,Cobertura do punho,MSA160T
1252-790-9100,40.31,Proteção da mão,MSA160T
1252-791-1700,55.68,Tubo do punho,MSA160T
1252-791-3100,5.96,Mola,MSA160T
1252-791-5400,11.33,Suporte,MSA160T
1252-967-1804,10.08,Placa de características MSA 160T,MSA160T
1254-080-1600,35.61,Cobertura,MSA120/140
1254-160-5000,36.6,Alavanca,MSA120/140
1254-162-7900,5.21,Mola de tração,MSA120/140
1254-182-4500,5.21,Mola com haste,MSA120/140
1254-350-4400,45.08,Tanque de óleo,MSA120/140
1254-430-1400,569.53,Módulo electrônico,MSA120
